,Q,A
236,1 : 하긴 트럭이나 버스를 몰 것도 아닌데 굳이 1종을 딸 필요는 없겠다 하하,2 : 그렇지! 1종 따려다가 괜히 시험 떨어져서 재시험비로만 돈 엄청 나가ㅠㅠ
237,1 : 헐... 그럼 난 2종을 따야겠다.,2 : 잘 생각했어. 돈 아껴야지~
238,1 : 오 진짜? 시뮬레이션으로 연습하는 건가 보네? 신기하다!,2 : 나 같은 경우는 기능까지는 시뮬레이션 학원에서 하고 도로 주행은 신도림 쪽 학원으로 가서 실제 차로 연습했어!
239,1 : 오 진짜? 시뮬레이션으로 연습하는 건가 보네? 신기하다!,2 : 아무래도 도로 주행은 시뮬레이션만으로는 어렵다더라고.
240,1 : 나 이제 역에 내렸어 여기서 어디로 가면 돼?,2 : 우리 지금 마트에서 장 보는 중이야 롯데마트 지도에 검색해서 와
241,1 : 음... 지도에선 버스 두 번이나 갈아타야 된다는데 이거 맞아?,2 : 우리는 차 타고 와서 잘 몰라
242,1 : 아 너무 복잡한데 먼저 숙소에 가 있으면 안될까?,2 : 그래도 괜찮을 것 같긴 하다
243,1 : 아 너무 복잡한데 먼저 숙소에 가 있으면 안될까?,2 : 여기 사람 수가 많아서 손이 부족하지는 않을 것 같아
244,1 : 응 숙소 가서 먼저 짐 풀고 주변 둘러보고 있을게,2 : 대신 가서 사장님한테 할인 이벤트 얘기 해놔
245,1 : 알았어 천천히 장 보고 와,2 : 응 뭐 먹고 싶은 거 있어? 여기서 사 갈게
246,1 : 다들 자율주행차에 대해 어떻게 생각해?,2 : 정말 편리한 시스템인 거 같아. 운전하는 거 피곤하잖아
247,1 : 그치? 근데 오작동이나 그런 일이 있을 거 같아 약간 무섭더라,2 : 그렇네. 오작동 하면 그대로 큰 사고로 이어질 수 있잖아
248,1 : 정말? 근데 그래도 자동으로 운전하면 아예 신경을 안 쓰고 있을텐데 반응 할 수 있을까?,2 : 나도 그게 걱정이야.
249,1 : 정말? 근데 그래도 자동으로 운전하면 아예 신경을 안 쓰고 있을텐데 반응 할 수 있을까?,2 : 그렇다고 운전을 계속 신경 쓰면 자율운전의 의미가 없는 것 같기도 하고.
250,1 : 오! 그러면 사고 위험도 덜하고 좋겠다,2 : 나는 그래도 자율로 탈 거 같아.
251,1 : 오! 그러면 사고 위험도 덜하고 좋겠다,2 : 과학기술이 발전했으니까 사고를 방지하는 시스템이 분명 있겠지
252,1 : 배타고 가는 것 보다는 비행기가 더 빨라서 좋아,2 : 맞아. 제주도 갈때는 비행기가 더 좋아.
253,1 : 배타고 가는 것 보다는 비행기가 더 빨라서 좋아,2 : 배는 시간이 너무 오래 걸려
254,1 : 그래도 배는 바다를 보면서 갈 수 있잖아,2 : 요새는 약이 많이 나와서 먹고 배를 타면 견딜만해
255,1 : 난 배멀미가 없어서 괜찮아,2 : 이번에 대구로 여행을 갈건데 무얼 타야 빠르고 편하게 갈 수 있을까?
256,1 : 버스도 괜찮을꺼 같아,2 : 여기서 대구로 가는 기차편은 없는 것 같아
257,1 : 경부고속도로 타면 기차보다 빠를껄?,2 : 그럴거야 기차는 대전에서 환승을 해야되서 버스 직행이 더 빠를거야
258,1 : 버스타고 대구 가는 길에 휴게소 들려?,2 : 대전즈음 지날 때 휴게소 들르는 것 같아
259,1 : 버스를 타면 휴게소 들리는게 제일 재밌어,2 : 휴게소에서 먹는 감자는 정말 맛있어
260,1 : 고속도로 휴게소는 맥반석 오징어가 제 맛이지,2 : KTX가 좋을까 SRT가 좋을까?
261,1 : KTX가 내가 알기로는 제일 빠른 기차인데 더 좋지 않을까?,2 : 가격은 SRT가 더 싼거 같아
262,1 : KTX랑 SRT랑 가격 차이는 얼마정도 나?,2 : 10퍼센트정도 차이가 나는걸로 알고 있어
263,1 : 10% 정도면 더 빠른 기차를 타는게 나은거 같아,2 : 맞아. 둘다 빨라
264,1 : **이가 마침 가는 길이라는데 태워준데,2 : 와 덕분에 기차비 아끼게 됐네?
265,1 : 오늘 버스 탔는데 버스가 너무 안오더라,2 : 맞아 대중교통은 힘든 것 같아
266,1 : 차라리 지하철을 탈껄 그랬어,2 : 지하철이 서울은 잘 되있지 않아?
267,1 : 맞아 서울 지하철은 사람이 너무 많아,2 : 지하철이 그래도 편리한 편이지 않나?
268,1 : 뭐 타고 이동 했어?,2 : 최근에 직접 운전해서 강릉 다녀왔어!
269,1 : 비행기 몇시간 탔어?,2 : 1시간 안걸리지 않았어?
270,1 : 비행기는 요금이 비싸서 잘 안타는 것 같아,2 : 그래도 빨라서 좋지않아?
271,1 : 비행기는 요금이 비싸서 잘 안타는 것 같아,2 : 오 그런정보는 어디서 얻는거야?
272,1 : 그거 알지 유명한 교통 어플이잖아,2 : 나도 그 어플을 한번 다운 받아 볼까?
273,1 : 그거 알지 유명한 교통 어플이잖아,2 : 오 알림 설정도 된다고?
274,1 : 비행기값 최저가로 구매할 때 좋은거 같아,2 : 가격이 싸다고 다 좋다고 할 수는 없을 것 같은데?
275,1 : 이번 주말에 차 많이 막힐까? 소풍 가려는데 언제 출발하지?,2 : 막히지않을까? 새벽부터 출발 해야할 걸.
276,1 : 저번 주말에도 한시간 반 거리를 세시간이나 걸렸어.,2 : 맞아. 동네 가는 것도 오래 걸리고 말이야. 주말은 힘들어.
277,1 : 요즘 교통체증이 장난아냐. 놀러가는 사람들이 많은 가봐,2 : 날씨도 선선하니 좋아서 다들 놀러 가는듯
278,1 : 맞아. 어딜가더라도 다 막히는거 같아,2 : 그렇지. 그래서 난 평일에 딸이랑 지하철로 인천바다여행이나 갔다오려고.
279,1 : 날이 점점 추워지니까 버스 타고 출퇴근하기 너무 힘들다,2 : 맞아 버스 정류장에서 기다릴 때가 제일 추워
280,1 : 응 지하철 타고 가도 어차피 버스로 갈아타야 돼,2 : 회사 옮기기 전엔 지하철로 다녀서 덥고 추운건 좀 덜했는데
281,1 : 출퇴근 시간에 버스가 꽉 차서 못 탈때는 진짜 스트레스받아.,2 : 너네 운전면허는 있어?
282,1 : 출퇴근 시간에 버스가 꽉 차서 못 탈때는 진짜 스트레스받아.,2 : 요즘 날이 추워지니까 차 사고 싶더라
283,1 : 근데 난 아직 차 사기는 좀 무리인 것 같아서,2 : 아무래도 돈이 많이 나가니까
284,1 : 음 하긴 꼭 비싸고 큰 차를 살 필요는 없으니까,2 : 맞아 출퇴근 용도로 쓸 만한 차면 그렇게 비싸지도 않아
285,1 : 자전거로 출퇴근하는 거 할만 한 것 같아?,2 : 이제 세 달정도 됐는데 이젠 좀 적응이 되는 것 같아
286,1 : 그러니까 출근이야 그렇다 치더라도 퇴근이 너무 힘들 것 같아,2 : 처음엔 그래서 나도 포기할 뻔 했는데 적응되면 괜찮아
287,1 : 이제 날씨 슬슬 더워지는데 이게 제일 힘들지 않을까?,2 : 맞아 그래서 찾아봤는데 한여름과 한겨울엔 대중교통 이용하는 사람이 많더라
288,1 : 그치 아무래도 한여름에 자전거 타고 출근하면 땀에 쩔어서 일도 못할 것 같아,2 : 응 지금 날씨에도 자전거 타고 가면 땀이 좀 나는데 이제 더워지면 힘들지
289,1 : 자전거 사놓고 안 탄지가 너무 오래됐어,2 : 나는 해 보는 걸 추천해 운동도 되고 좋아
290,1 : 요즘은 전기차가 엄청 많이 나오네,2 : 맞아 앞으로 몇 년 안에 새로 나오는 차는 전기차로 바뀐대잖아
291,1 : 맞아 저번에 기사에서 비슷한 내용 본 것 같아,2 : 일반 승용차는 앞으로 전기차가 훨씬 더 많아질거야
292,1 : 그러게 우리 아파트 주차장에도 전기차 충전기가 점점 늘더라,2 : 맞아 우리가 차 새로 살 때쯤 되면 주유소만큼 많아질 수도 있어
293,1 : 세상 변하는 속도는 점점 더 빨라지니까,2 : 당장 스마트폰이 나온게 10년 조금 넘었는걸
294,1 : 그럼 그에 맞는 직업도 엄청 생겨나겠네,2 : 그렇지 않을까? 없어지는 직업도 그만큼 많을거고
295,1 : 학교 근처에 운전면허 학원 추천해 줄 만한 곳 있어?,2 : 난 청량리역 근처에 있는 학원에서 면허 땄어
296,1 : 학교 근처에 운전면허 학원 추천해 줄 만한 곳 있어?,2 : 거기 우리 학교랑 제휴라 할인해 줘
297,1 : 아 진짜? 얼마나 해주는데?,2 : 일반 가격의 10% 할인해 준다더라
298,1 : 음 괜찮네 너네는 언제 땄는데?,2 : 나 입학하자마자 바로 땄지
299,1 : 아 미리 좀 해 둘걸 엄청 귀찮네,2 : 근데 갑자기 면허는 왜? 차 사게?
300,1 : 아버지가 면허 따면 차 사주신다고 해서,2 : 오 그럼 빨리 따야겠네
301,1 : 요즘 길거리에 전동 킥보드 많이 보이더라,2 : 맞아 그거 써봤는데 엄청 좋아
302,1 : 그렇지? 요즘 도서관 갈 때 타고다닐까 하고,2 : 어 그럴 때 쓰기 딱 좋더라 세우는 것도 아무데나 세우면 되고
303,1 : 한 15분 정도 걸어야 돼,2 : 요즘은 날이 더워서 15분 걸으면 힘들지
304,1 : 어 매일 가는데 걸어서 도서관 가면 땀이 너무 많이 나,2 : 바로 앉아서 공부하기 힘들겠네
305,1 : 아 그래? 좀 찾아봐야겠네,2 : 나도 가끔 쓰는거라 별로 생각을 못했네
306,1 : 우리 내일 어떻게 가기로 결정됐어?,2 : 기차타고 각자 가기로 했어
307,1 : 우리 내일 어떻게 가기로 결정됐어?,2 : 버스 대절은 너무 비싸더라고
308,1 : 아 그래? 그럼 우리는 따로 만나서 같이 가자,2 : 어 안그래도 아까 그 얘기 했어
309,1 : 아침 10시? 왜 그렇게 일찍 모여?,2 : 우리가 먼저 가서 장도 보고 해야될 것 같아
310,1 : 혼자 가면 심심해,2 : 그래 가서 별로 할 일도 없어 같이 가자
311,1 : 잘됐다 그럼 내일 보자,2 : 참 내일 올 때 저번에 준 가방 꼭 가져와
312,1 : 우리동네 마을버스가 있어서 너무 좋아,2 : 마을버스 타고 다녀야하는 거야?
313,1 : 지하철에서 가까운데 동네 돌아다닐때는 마을버스가 어디든 가니까 편리해,2 : 나도 이사하기 전에는 많이 이용했는데 이사하고나서는 안 타고 있어.
314,1 : 둘째 어린이집에서 소아과 갈때도 바로 앞에서 마을버스 타고 4정거장 가서 내리면 병원이 가까워,2 : 우리는 언덕인 동네에 마을버스가 많이 다니더라고.
315,1 : 그래서 어른신이 많이 사는거 같아. 마을버스도 정거장  거리가 가까워,2 : 마을버스 정겨웠지. 언덕동네는 필수야
316,1 : 전기자전거 타려면 면허증은 상관없지?,2 : 있어야 하지 않아?
317,1 : 동네 돌아다닐때 아이들 태워서 다니면 좋을꺼 같아서,2 : 면허가 있어야하는 전기자전거가 있고 아닌 게 있다네.
318,1 : 동네 돌아다닐때 아이들 태워서 다니면 좋을꺼 같아서,2 : 아무래도 페달있고 없고의 차이겠지?
319,1 : 스쿠터는 무서워. 넘어진 친구도 있고,2 : 스쿠터도 면허가 있어야 해. 전기자전거가 타기 오히려 편하데.
320,1 : 난 면허가 없어서 면허증 필요한 수단은 운전 못해. 안전하게 안전모,2 : 공사장 나가는 줄 알았어. 그래. 자전거와 스쿠터는 안전모 필수!
321,1 : 옆에 갑자기 지나갈때 깜짝깜짝 놀랄때가 많아,2 : 맞아. 빠르고 좋지만 주변사람들은 놀라.
322,1 : 아이랑 골목에 나가다가 앞에서 쓩 하고 지나가서 얼마나 놀랬는지 몰라,2 : 맞아. 특히 킥보드로 배달하는 사람들이 더 정신없이 빠르게 가는 것 같아.
323,1 : 그렇더라. 난 전동 킥보드로 배달하는 거 보고 신기했어,2 : 맞아. 나도 자전거로 해보려다가 국물 다 엎을까봐 포기 했어. 킥보드는 더 대단해보여.
324,1 : 이동수단이 요즘 많아져서 좋긴한데 위험도 그 만큼 많아져서 큰일이야,2 : 맞아. 많아진 만큼 안전은 못 따라가는 것 같아.
325,1 : 제일 많이 사용하는 교통수단이 뭐야? 난 요즘 지하철 2~3정거장 정도는 걸어다녀,2 : 난 거의 지하철 이용하다가 자전거 이용 중
326,1 : 대중교통 이용한 것도 불안하니까 걷는게 운동도 되고 좋더라고,2 : 나도 걷고 싶은데 무릎이 아파서 자전거 이용 중이야.
327,1 : 맞아. 나도 다이어트 겸 걷기 시작했는데 참 좋아,2 : 가까우면 좀 걷고 싶네. 지하철도 계단 많이 내려가야되서 힘들 고 말이야.
328,1 : 우리집에서 지하철 내려가는 곳은 계단이 많은데 엘리베이터나 에스컬레이터가 없어서 불편해,2 : 엄청 깊숙히 내려가야는데 에스컬레이터가 하나 밖에 없고 다 계단이야. 너무 힘들어.
329,1 : 지하철 탈때 제일 짜증나는 건?,2 : 출근시간때 타는게 짜증나지
330,1 : 지하철 탈때 제일 짜증나는 건?,2 : 꽉 끼이면...가끔 발이 땅에 안닿는것 같아
331,1 : 물이 뚝뚝 떨어지는데 사람은 많고,2 : 옷에 묻고
332,1 : 물이 뚝뚝 떨어지는데 사람은 많고,2 : 추운날에 에어컨 킬때도 있다.
333,1 : 요즘 지하철 몇시까지 다녀?,2 : 글쎄 11시 반 아냐?
334,1 : 코로나 때문에 식당은 단축운영하니까 지하철도 단축해서 다니나 궁금해서,2 : 12시는 아니었어. 역마다 다르지만 11시30분정도였어.
335,1 : 요즘은 멀리가는 일이 별로 없어서 지하철을 타본지가 오래된거 같아,2 : 기차 막차타고  도착해서 내리면 항상 지하철은 끊겨 있더라고
336,1 : 아이들이 지하철 타보고 싶다고 하는데,2 : 항상 지하철끊기면 택시 탔지.
337,1 : 요즘도 서울 차 많이 막히나,2 : 키키 항상 막히는게 서울이잖아
338,1 : 요즘 그래도 자차보다 대중교통 이용하는 사람 많지 않나?,2 : 맞아 대중교통 이용객들 많긴 한데 인구가 너무 밀집되다보니 어쩔수 없이 막히는듯
339,1 : 근데 왜 자차를 타는거지,2 : 그래도 지하철에 낑겨 타는 거보다 편하게 가는걸 선택하는거지
340,1 : 그래도 버스전용차로 이용하면 버스는 좀 빠르지않아?,2 : 맞아 서울은 그게 잘 되어 있더라
341,1 : 그래도 버스전용차로 이용하면 버스는 좀 빠르지않아?,2 : 시간단축이 많이 되든듯
342,1 : 자동차는 살아가는 데 필요한 수단이긴 하지만 돈 줄 새는 구멍이야.,2 :  왜 또 사고라도 났어?
343,1 : 자동차는 살아가는 데 필요한 수단이긴 하지만 돈 줄 새는 구멍이야.,2 : 그래. 평안한 마음가짐으로 안전운전해도 모르는 사이에 생기는 게 사고야.
344,1 : 안그래도 과태료 2배 인상 됐다더라.,2 : 그건 약과지. 언니 스피드레이서?
345,1 : 안그래도 과태료 2배 인상 됐다더라.,2 : 그거 보고 앞에 가는 차 따라 잡는다고 동일 차로에서 급 추월한 적도 있잖아.
346,1 : 안그래도 과태료 2배 인상 됐다더라.,2 : 와 그 때 아찔했다.
347,1 : 도대체 언제쯤이면 운전을 편하게 할 수 있는 걸까?,2 : 언니 면허 딴 지 얼마나 됐지?
348,1 : 도대체 언제쯤이면 운전을 편하게 할 수 있는 걸까?,2 : 자주해야 운전도 느는거야.
349,1 : 조수석에 누가 있어야 할 수 있음...무서워.,2 : 운전 잘 하는 사람 옆에 태워서 고속도로 운전해 봐.
350,1 : 조수석에 누가 있어야 할 수 있음...무서워.,2 : 쇳 불도 단 김에 빼라고 했다.
351,1 : 여보 차는 매일 쓰나?,2 : 매일 쓰지 애들 학원 픽업때문에
352,1 : 나 출장때문에 차를 좀 써야할것같은데,2 : 언제쓰는데? 별일 없음 가져가도 돼
353,1 : 금요일이야 전주 출장인데 간 김에 친구 만나고 올께,2 : 그럼 일욜날 올라오겠네 괜찮아요
354,1 : 형님 맨날 세미나네,2 : 그러게 난 괜찮아요 **가 좀 걸어서 그렇지
355,1 : 오늘 출근길도 헬파티였습니다~,2 : 야... 그래도 지하철이 버스보다 나아
356,1 : 오늘 출근길도 헬파티였습니다~,2 : 언니같이 회사가 가까운 거리면 나도 자전거 타고 가지...
357,1 : 아니... 중심을 못 잡겠어ㅜㅜ,2 : 내가 저번에 가르쳐줬잖아? 연습해! 탈 수 있어!
358,1 : 아니... 중심을 못 잡겠어ㅜㅜ,2 : 난 완전 좋아!
359,1 : 지하철 타고 가는 중인데 누가 민원 넣었나 봐.,2 : 그걸 어떻게 알아?
360,1 : 지하철 타고 가는 중인데 누가 민원 넣었나 봐.,2 : 얼마나 진상 민원을 넣었으면...
